iter	Passed	Remaining
0	39	39091
1	76	38396
2	110	36637
3	142	35477
4	174	34685
5	208	34587
6	236	33601
7	264	32827
8	292	32195
9	322	31893
10	348	31362
11	376	31033
12	406	30900
13	431	30396
14	461	30308
15	488	30059
16	514	29741
17	544	29690
18	573	29607
19	601	29474
20	628	29304
21	665	29584
22	696	29601
23	725	29520
24	757	29552
25	790	29601
26	821	29600
27	852	29611
28	886	29676
29	914	29576
30	952	29772
31	990	29964
32	1028	30143
33	1067	30317
34	1100	30346
35	1139	30515
36	1177	30648
37	1219	30862
38	1258	31002
39	1302	31259
40	1341	31382
41	1375	31379
42	1418	31575
43	1457	31660
44	1497	31784
45	1538	31897
46	1579	32034
47	1625	32237
48	1674	32499
49	1714	32569
50	1753	32621
51	1798	32787
52	1841	32900
53	1884	33020
54	1928	33129
55	1966	33156
56	2015	33337
57	2058	33436
58	2107	33608
59	2151	33714
60	2199	33854
61	2248	34010
62	2288	34032
63	2326	34021
64	2381	34252
65	2426	34339
66	2466	34342
67	2505	34338
68	2555	34481
69	2599	34535
70	2646	34629
71	2688	34653
72	2732	34701
73	2775	34728
74	2821	34800
75	2868	34880
76	2915	34944
77	2953	34909
78	2991	34878
79	3029	34835
80	3071	34848
81	3118	34906
82	3219	35568
83	3263	35586
84	3304	35571
85	3345	35559
86	3377	35445
87	3411	35351
88	3452	35336
89	3497	35365
90	3544	35407
91	3599	35524
92	3638	35485
93	3678	35456
94	3715	35393
95	3752	35340
96	3797	35355
97	3839	35338
98	3888	35393
99	3939	35457
100	3976	35399
101	4050	35662
102	4096	35671
103	4179	36010
104	4228	36046
105	4275	36062
106	4316	36022
107	4367	36076
108	4406	36021
109	4443	35950
110	4479	35874
111	4516	35806
112	4558	35783
113	4598	35736
114	4644	35745
115	4685	35704
116	4721	35633
117	4769	35646
118	4816	35656
119	4865	35682
120	4903	35620
121	4950	35628
122	4988	35566
123	5029	35528
124	5067	35471
125	5122	35532
126	5167	35520
127	5209	35490
128	5247	35428
129	5296	35447
130	5344	35454
131	5397	35495
132	5440	35462
133	5482	35431
134	5518	35356
135	5555	35292
136	5599	35272
137	5639	35226
138	5683	35207
139	5723	35160
140	5781	35221
141	5819	35165
142	5854	35083
143	5892	35027
144	5931	34975
145	5969	34916
146	6012	34887
147	6068	34934
148	6144	35094
149	6206	35169
150	6258	35189
151	6296	35128
152	6336	35077
153	6377	35032
154	6421	35004
155	6459	34949
156	6505	34930
157	6563	34978
158	6606	34942
159	6663	34982
160	6705	34945
161	6740	34868
162	6776	34794
163	6813	34733
164	6857	34702
165	6898	34657
166	6939	34614
167	6981	34574
168	7019	34515
169	7057	34457
170	7098	34414
171	7147	34408
172	7185	34347
173	7225	34299
174	7268	34264
175	7301	34183
176	7343	34146
177	7381	34089
178	7417	34020
179	7456	33966
180	7493	33907
181	7527	33831
182	7562	33762
183	7601	33710
184	7643	33673
185	7683	33624
186	7724	33583
187	7768	33552
188	7812	33521
189	7848	33457
190	7893	33433
191	7934	33392
192	7979	33363
193	8012	33289
194	8060	33277
195	8101	33232
196	8143	33194
197	8184	33151
198	8238	33162
199	8283	33132
200	8321	33080
201	8373	33078
202	8418	33052
203	8457	33001
204	8493	32939
205	8537	32905
206	8582	32879
207	8621	32827
208	8663	32788
209	8705	32747
210	8747	32711
211	8792	32682
212	8833	32639
213	8870	32579
214	8909	32531
215	8949	32484
216	8994	32453
217	9034	32409
218	9076	32369
219	9121	32340
220	9171	32328
221	9206	32264
222	9243	32208
223	9293	32196
224	9325	32120
225	9358	32052
226	9394	31992
